"nms873"	"n616_ad4_zscore"	"cons"
"ZINC00010402"	NA	-0.424387174	NA
"ZINC0001044546"	1.213784117	-1.197411573	0.0163725440000002
"ZINC000105309"	0.10099559	-0.889282967	-0.788287377
"ZINC0001069091"	0.529065355	-1.45148253	-0.922417175
"ZINC0001083"	NA	-0.835225316	NA
"ZINC000113191351  "	0.745296229	NA	NA
"ZINC000113198271"	NA	-0.678458131	NA
"ZINC000113198271  "	1.554313331	NA	NA
"ZINC000113241878"	NA	-1.008209797	NA
"ZINC000113241878  "	1.271648891	NA	NA
"ZINC000113391423"	NA	-0.597371655	NA
"ZINC000113391423  "	1.192721034	NA	NA
"ZINC000113404"	NA	-0.256808458	NA
"ZINC000113476229"	NA	-2.262347284	NA
"ZINC000113476229  "	1.339412456	NA	NA
"ZINC0001136"	NA	-0.424387174	NA
"ZINC0001137"	NA	-0.959557912	NA
"ZINC000113741875"	NA	-0.381141054	NA
"ZINC000113741875  "	1.213506994	NA	NA
"ZINC000114005494  "	1.369021634	NA	NA
"ZINC000114026926"	NA	-0.229779633	NA
"ZINC000114447089"	NA	-0.008143267	NA
"ZINC000114447089  "	1.245322899	NA	NA
"ZINC000114465229  "	1.15683323	NA	NA
"ZINC000114483165"	NA	-0.986586737	NA
"ZINC000114483165  "	1.141377552	NA	NA
"ZINC0001145"	NA	-0.181127748	NA
"ZINC000114545220  "	1.182203453	NA	NA
"ZINC0001145764"	0.736245384	-0.273025753	0.463219631
"ZINC000114643710"	NA	-0.797384961	NA
"ZINC000114643710  "	0.842914143	NA	NA
"ZINC0001148"	NA	-0.332489169	NA
"ZINC000114898570"	NA	-0.640617775	NA
"ZINC000114898570  "	0.867854268	NA	NA
"ZINC000114944682  "	1.042357127	NA	NA
"ZINC000114994525  "	0.817914513	NA	NA
"ZINC000115705166"	NA	-1.056861682	NA
"ZINC000115705166  "	0.988056781	NA	NA
"ZINC000116109867"	NA	-2.381274114	NA
"ZINC000116109867  "	0.956678677	NA	NA
"ZINC00011616009  "	0.059962527	NA	NA
"ZINC00011616162"	0.220392781	NA	NA
"ZINC00011616261"	NA	-0.229779633	NA
"ZINC00011616372  "	0.563613326	NA	NA
"ZINC00011616730  "	0.758625953	NA	NA
"ZINC00011617039"	1.239398647	-0.53790824	0.701490407
"ZINC000116262036"	NA	-1.164976983	NA
"ZINC000116262036  "	0.415138397	NA	NA
"ZINC000116734639  "	0.9428533	NA	NA
"ZINC00011677837"	1.107945811	NA	NA
"ZINC00011677857"	1.252265543	NA	NA
"ZINC00011677911"	0.699975634	-0.397358349	0.302617285
"ZINC00011679877"	1.129212797	-0.721704251	0.407508546
"ZINC00011680799"	1.295422906	-2.354245289	-1.058822383
"ZINC00011681563"	NA	-0.343300699	NA
"ZINC00011681563  "	1.044490364	NA	NA
"ZINC00011687445"	0.406106869	-0.51628518	-0.110178311
"ZINC000116937"	0.10501478	-0.170316218	-0.065301438
"ZINC00011726211"	0.272653455	-0.483850589	-0.211197134
"ZINC00011757505"	0.424684395	-0.797384961	-0.372700566
"ZINC000117924202"	NA	-1.521757475	NA
"ZINC000117924202  "	1.263578517	NA	NA
"ZINC000118073503"	NA	-0.435198704	NA
"ZINC000118073503  "	1.26121359	NA	NA
"ZINC000118239825"	NA	-1.300121109	NA
"ZINC000118399834"	NA	-0.737921546	NA
"ZINC000118399834  "	1.036624912	NA	NA
"ZINC000118401631"	NA	-0.889282967	NA
"ZINC000118401631  "	1.085532647	NA	NA
"ZINC000118795962"	NA	-1.61365548	NA
"ZINC000118795962  "	0.966819663	NA	NA
"ZINC000118912814"	NA	-0.029766327	NA
"ZINC000118912814  "	0.40639378	NA	NA
"ZINC000119905"	NA	-0.489256355	NA
"ZINC000119983"	0.277122541	NA	NA
"ZINC000120319"	NA	-0.554125535	NA
"ZINC0001212495"	1.47241775	-0.462227529	1.010190221
"ZINC000121458"	NA	-0.354112229	NA
"ZINC0001214644"	0.259564055	-0.478444824	-0.218880769
"ZINC00012153845"	1.017160061	NA	NA
"ZINC000121541"	NA	-0.52709671	NA
"ZINC0001223"	NA	-0.710892721	NA
"ZINC0001224"	0.324771433	NA	NA
"ZINC0001227117"	0.59445015	NA	NA
"ZINC00012339625"	NA	-0.051389387	NA
"ZINC00012341529"	0.920437356	NA	NA
"ZINC00012353762"	0.194123123	-0.948746382	-0.754623259
"ZINC00012354940"	0.255259534	-0.197345043	0.057914491
"ZINC00012358651"	NA	-0.251402693	NA
"ZINC00012370057"	0.841080338	-0.224373868	0.61670647
"ZINC00012372218"	0.643830744	-1.170382748	-0.526552004
"ZINC00012375086"	0.809457941	-0.894688732	-0.085230791
"ZINC00012375998"	0.036052808	NA	NA
"ZINC00012376979"	1.032428899	-0.694675426	0.337753473
"ZINC0001238258"	0.090070476	-1.121730863	-1.031660387
"ZINC00012402836"	0.409163636	-0.143287393	0.265876243
"ZINC00012404516"	0.447183468	-0.208156573	0.239026895
"ZINC00012406714"	NA	-0.002737502	NA
"ZINC00012410091"	NA	-0.310866109	NA
"ZINC00012428433"	NA	-0.732515781	NA
"ZINC0001246"	0.63915457	-1.181194278	-0.542039708
"ZINC00012466820"	NA	-1.219034633	NA
"ZINC00012466820  "	0.066050709	NA	NA
"ZINC00012468792"	0.287971533	NA	NA
"ZINC00012502280"	NA	-0.024360562	NA
"ZINC00012503091"	0.408387405	NA	NA
"ZINC00012503147"	0.479059824	NA	NA
"ZINC00012503187"	1.183770651	-0.900094497	0.283676154
"ZINC000125047"	NA	-0.267619988	NA
"ZINC00012514"	NA	-1.429859469	NA
"ZINC0001261"	0.000406152	-0.50547365	-0.505067498
"ZINC0001280591"	0.155567538	NA	NA
"ZINC0001283"	NA	-0.181127748	NA
"ZINC00012888720"	0.847430194	-2.878604497	-2.031174303
"ZINC0001293"	NA	-0.224373868	NA
"ZINC0001300"	NA	-0.381141054	NA
"ZINC00013108863"	0.323438552	-0.63521201	-0.311773458
"ZINC00013117605"	0.623263198	-1.48391712	-0.860653922
"ZINC00013119676"	0.258845979	NA	NA
"ZINC00013130939"	0.682260021	-0.121664333	0.560595688
"ZINC0001319234"	0.53660655	NA	NA
"ZINC0001322"	NA	-0.364923759	NA
"ZINC00013233295"	0.141289296	-0.045983622	0.095305674
"ZINC00013282570"	NA	-0.478444824	NA
"ZINC0001342"	0.070465271	-0.235185398	-0.164720127
"ZINC00013452167"	0.04841531	NA	NA
"ZINC00013467799"	0.290757811	NA	NA
"ZINC00013475083"	0.315837514	NA	NA
"ZINC00013476371"	0.821745555	NA	NA
"ZINC00013476439"	0.447660478	NA	NA
"ZINC00013488964"	0.346875088	-0.402764114	-0.055889026
"ZINC00013493055"	0.638974373	-0.543314005	0.095660368
"ZINC00013509425"	0.506243543	-0.127070098	0.379173445
"ZINC00013513592"	0.49440297	-0.013549032	0.480853938
"ZINC00013514886"	0.098704627	NA	NA
"ZINC00013519235"	0.683302806	-0.63521201	0.048090796
"ZINC00013520815"	0.522814167	-0.143287393	0.379526774
"ZINC00013521023"	1.171013095	-1.640684306	-0.469671211
"ZINC00013527116"	0.730370162	-1.186600043	-0.456229881
"ZINC00013537284"	0.241292643	-0.127070098	0.114222545
"ZINC000135411"	NA	-0.359517994	NA
"ZINC00013548421"	NA	-0.218968103	NA
"ZINC00013560595"	0.463423403	NA	NA
"ZINC00013584996"	0.991221281	-0.224373868	0.766847413
"ZINC00013587959"	0.885915453	-1.646090071	-0.760174618
"ZINC00013588927"	NA	-0.170316218	NA
"ZINC00013603907"	0.502932035	-0.375735289	0.127196746
"ZINC00013605976"	0.543940057	-0.008143267	0.53579679
"ZINC00013607514"	0.598495934	NA	NA
"ZINC00013612035"	1.081959465	NA	NA
"ZINC000136138"	NA	-0.100041272	NA
"ZINC000136229057"	NA	-0.819008021	NA
"ZINC000136229057  "	1.477357116	NA	NA
"ZINC00013648479"	0.070465271	-0.889282967	-0.818817696
"ZINC00013658656"	0.148662606	NA	NA
"ZINC00013671721"	NA	-0.54871977	NA
"ZINC00013679213"	0.900215713	-0.343300699	0.556915014
"ZINC00013679981"	0.924856163	-2.116391628	-1.191535465
"ZINC00013682481"	1.016015072	NA	NA
"ZINC00013684256"	0.630663263	-0.100041272	0.530621991
"ZINC00013684484"	1.042787152	-0.873065672	0.16972148
"ZINC000136945"	0.223881058	-0.013549032	0.210332026
"ZINC000136945z"	0.281275949	NA	NA
"ZINC000137222115"	NA	-0.683863896	NA
"ZINC000137222115  "	0.713391025	NA	NA
"ZINC0001376"	NA	-1.386613349	NA
"ZINC00013763987"	0.72435294	NA	NA
"ZINC00013781298"	0.457091319	-0.737921546	-0.280830227
"ZINC0001379"	NA	-0.327083404	NA
"ZINC00013813276"	NA	-0.53790824	NA
"ZINC00013813283"	0.096553652	NA	NA
"ZINC00013813289"	NA	-0.321677639	NA
"ZINC00013813291"	0.552293656	-0.381141054	0.171152602
"ZINC00013813294"	0.792769278	-1.781234196	-0.988464918
"ZINC00013813297"	0.04811054	-0.402764114	-0.354653574
"ZINC00013815362"	0.095581037	NA	NA
"ZINC00013815406"	0.353116982	-0.148693158	0.204423824
"ZINC00013815413"	0.692708808	-0.964963677	-0.272254869
"ZINC00013815417"	0.611670495	NA	NA
"ZINC00013815425"	0.781362827	-0.846036846	-0.0646740189999999
"ZINC00013816309"	0.242686913	-0.413575644	-0.170888731
"ZINC00013828184"	0.828977606	-0.970369442	-0.141391836
"ZINC00013829351"	0.811712476	NA	NA
"ZINC00013829437"	0.335926936	-0.651429305	-0.315502369
"ZINC00013829441"	0.273053808	-0.343300699	-0.070246891
"ZINC00013831130"	1.212641929	NA	NA
"ZINC00013831145"	0.364144112	NA	NA
"ZINC00013831148"	0.323041877	-0.862254141	-0.539212264
"ZINC00013831159"	0.495235792	NA	NA
"ZINC00013831225"	0.668353635	-1.202817338	-0.534463703
"ZINC00013831229"	1.243776146	-2.52722977	-1.283453624
"ZINC00013831231"	0.081119425	-0.748733076	-0.667613651
"ZINC00013831232"	1.294725984	-0.229779633	1.064946351
"ZINC00013831235"	0.865685325	NA	NA
"ZINC00013831241"	0.029883082	NA	NA
"ZINC00013831242"	0.156602183	-0.62440048	-0.467798297
"ZINC00013831244"	0.656364068	-0.121664333	0.534699735
"ZINC00013831249"	1.370716976	-0.245996928	1.124720048
"ZINC00013831250"	0.857152427	-0.618994715	0.238157712
"ZINC0001383151"	0.399412919	NA	NA
"ZINC00013831810"	1.04611457	-1.110919333	-0.0648047629999999
"ZINC00013838357"	1.072846401	NA	NA
"ZINC0001386783"	0.60087648	-0.100041272	0.500835208
"ZINC00013907839"	0.113249814	-0.808196491	-0.694946677
"ZINC00013910898"	0.227273145	NA	NA
"ZINC00013911941"	1.069820129	-1.489322885	-0.419502756
"ZINC00013914293"	0.273354987	NA	NA
"ZINC00013936"	0.139606962	-0.883877202	-0.74427024
"ZINC0001395"	0.065158342	NA	NA
"ZINC00013973993"	0.26940752	NA	NA
"ZINC00013974878"	0.153950474	-0.132475863	0.021474611
"ZINC00013980035"	1.06794538	-0.575748595	0.492196785
"ZINC00013980453"	1.232055084	-0.089229742	1.142825342
"ZINC00013980772"	1.049536477	-1.278498049	-0.228961572
"ZINC00013982410"	0.297535006	NA	NA
"ZINC00013982572"	NA	-1.770422666	NA
"ZINC00013982572  "	1.18478641	NA	NA
"ZINC00013983221"	NA	-1.008209797	NA
"ZINC00013983453"	NA	-0.051389387	NA
"ZINC00013983495"	0.368048786	-1.332555699	-0.964506913
"ZINC00013985228"	0.396587809	-1.040644387	-0.644056578
"ZINC00013985502"	0.566671807	NA	NA
"ZINC00013985942"	0.579521504	-1.029832857	-0.450311353
"ZINC00013986658"	0.90439097	-0.381141054	0.523249916
"ZINC00013986811"	0.624868478	-0.991992502	-0.367124024
"ZINC00013986815"	1.160641869	-1.397424879	-0.23678301
"ZINC00013986943"	0.82741439	-0.083823977	0.743590413
"ZINC000139920592"	NA	-0.543314005	NA
"ZINC000139920592  "	1.159514152	NA	NA
"ZINC00014007"	NA	-0.402764114	NA
"ZINC0001402"	0.315568841	-0.662240835	-0.346671994
"ZINC00014025557"	1.320060245	-2.332622229	-1.012561984
"ZINC000140341381"	NA	-0.424387174	NA
"ZINC000140341381  "	1.497811253	NA	NA
"ZINC00014036"	NA	-0.283837283	NA
"ZINC000140471"	NA	-0.018954797	NA
"ZINC000140546103  "	0.563214862	NA	NA
"ZINC00014087429"	0.232936209	-1.678524661	-1.445588452
"ZINC00014128264"	NA	-0.510879415	NA
"ZINC00014164617"	0.661878045	NA	NA
"ZINC0001417"	NA	-0.073012447	NA
"ZINC000141831516  "	0.718874709	NA	NA
"ZINC0001420561"	0.018093942	-0.878471437	-0.860377495
"ZINC0001420826"	0.076175213	-0.786573431	-0.710398218
"ZINC00014208575  "	0.963590838	NA	NA
"ZINC000142095785"	NA	-1.45148253	NA
"ZINC000142095785  "	1.306433898	NA	NA
"ZINC00014210642"	1.1451576	NA	NA
"ZINC00014210876  "	1.485570071	NA	NA
"ZINC000142626599"	NA	-1.175788513	NA
"ZINC000142626599  "	0.382423671	NA	NA
"ZINC00014263142"	0.154695481	-0.343300699	-0.188605218
"ZINC00014276855"	1.021685743	NA	NA
"ZINC000143116580"	NA	-0.083823977	NA
"ZINC000143116580  "	1.049621415	NA	NA
"ZINC000143135373"	NA	-0.191939278	NA
"ZINC000143135373  "	1.350819832	NA	NA
"ZINC0001436"	NA	-0.116258568	NA
"ZINC00014360"	NA	-0.267619988	NA
"ZINC000143703253"	NA	-0.327083404	NA
"ZINC000143989696"	NA	-0.856848376	NA
"ZINC000143989696  "	1.101939192	NA	NA
"ZINC0001441"	NA	-0.078418212	NA
"ZINC0001444052"	1.437905499	-0.727110016	0.710795483
"ZINC0001444556"	0.21982438	-0.089229742	0.130594638
"ZINC000144562400"	NA	-0.489256355	NA
"ZINC000144562400  "	1.353261477	NA	NA
"ZINC00014457"	NA	-0.851442611	NA
"ZINC000144682962"	NA	-0.937934852	NA
"ZINC000144705377"	NA	-1.510945945	NA
"ZINC000144705377  "	1.264132683	NA	NA
"ZINC000144904566"	NA	-1.689336191	NA
"ZINC000144904566  "	1.135012368	NA	NA
"ZINC000145460849"	NA	-0.683863896	NA
"ZINC000145460849  "	1.381598224	NA	NA
"ZINC000145969085"	NA	-0.705486956	NA
"ZINC000145969085  "	0.562298608	NA	NA
"ZINC0001464"	0.08190435	NA	NA
"ZINC000146560539"	NA	-0.240591163	NA
"ZINC000146560539  "	0.762792632	NA	NA
"ZINC0001467"	0.329796987	NA	NA
"ZINC000146905479"	NA	-3.040777448	NA
"ZINC000146905479  "	1.227962221	NA	NA
"ZINC000146965425"	NA	-0.846036846	NA
"ZINC000146965425  "	0.825002053	NA	NA
"ZINC000146973421  "	0.173688202	NA	NA
"ZINC000147059673"	NA	-1.300121109	NA
