"nms873"	"n616_ad4_zscore"	"cons"
"ZINC0001530764"	NA	-0.64602354	NA
"ZINC0001530788"	0.99381742	-0.083823977	0.909993443
"ZINC0001530803"	NA	-0.267619988	NA
"ZINC0001530877"	0.812302706	-0.413575644	0.398727062
"ZINC0001530886"	1.400132504	-1.267686519	0.132445985
"ZINC0001530922"	0.730604668	NA	NA
"ZINC0001530932"	0.459935389	-0.473039059	-0.01310367
"ZINC0001530934"	0.5395481	-0.948746382	-0.409198282
"ZINC0001530939"	NA	-0.916311792	NA
"ZINC0001530940"	NA	-0.937934852	NA
"ZINC0001530968"	0.297344258	NA	NA
"ZINC0001530975"	0.451089277	-1.002804032	-0.551714755
"ZINC0001530977"	NA	-0.618994715	NA
"ZINC0001531012"	0.70026789	NA	NA
"ZINC0001531029"	NA	-0.121664333	NA
"ZINC0001531669"	0.770319808	NA	NA
"ZINC0001531699"	0.656791474	NA	NA
"ZINC0001532132"	NA	-0.143287393	NA
"ZINC0001532333"	0.69842315	-0.60277742	0.09564573
"ZINC0001532358"	NA	-0.451415999	NA
"ZINC0001532585"	0.670081294	-1.235251928	-0.565170634
"ZINC0001532612"	NA	-0.045983622	NA
"ZINC0001532734"	NA	-0.63521201	NA
"ZINC00015331"	NA	-0.202750808	NA
"ZINC0001533114"	0.59238759	-0.543314005	0.0490735849999999
"ZINC00015333"	NA	-0.229779633	NA
"ZINC0001533380"	NA	-0.186533513	NA
"ZINC0001533449"	0.203498623	NA	NA
"ZINC00015335"	NA	-1.035238622	NA
"ZINC0001533832  "	0.1879195	NA	NA
"ZINC0001533883"	1.170438444	-1.970435972	-0.799997528
"ZINC0001534160"	0.317267172	-0.408169879	-0.090902707
"ZINC0001534779"	NA	-0.121664333	NA
"ZINC0001534825"	NA	-0.116258568	NA
"ZINC0001534965"	0.947913709	NA	NA
"ZINC0001534967"	NA	-0.262214223	NA
"ZINC0001535101"	1.170806351	NA	NA
"ZINC0001535903"	0.388339729	-1.435265234	-1.046925505
"ZINC0001536779"	NA	-0.49466212	NA
"ZINC0001537496"	0.928527338	-0.889282967	0.039244371
"ZINC0001537619"	0.71273907	-0.132475863	0.580263207
"ZINC0001537633"	0.388862603	-1.202817338	-0.813954735
"ZINC0001538192"	0.665168096	-0.105447038	0.559721058
"ZINC0001538588"	NA	-1.213628868	NA
"ZINC0001538588  "	1.624821449	NA	NA
"ZINC0001538857"	1.670704654	-0.835225316	0.835479338
"ZINC0001538900"	NA	-0.386546819	NA
"ZINC0001539579"	0.87767068	-0.224373868	0.653296812
"ZINC0001540226"	NA	-0.954152147	NA
"ZINC0001540226  "	0.140377888	NA	NA
"ZINC0001540228"	1.036091326	-0.500067885	0.536023441
"ZINC0001540245"	1.41588741	-0.829819551	0.586067859
"ZINC0001540632"	0.977909336	-0.489256355	0.488652981
"ZINC0001540998"	0.872263099	-0.791979196	0.080283903
"ZINC0001541803"	0.07196078	-0.294648814	-0.222688034
"ZINC0001542002"	NA	-1.002804032	NA
"ZINC0001542113"	1.185038702	-1.359584524	-0.174545822
"ZINC0001542146"	NA	-1.002804032	NA
"ZINC0001542146  "	1.296335205	NA	NA
"ZINC0001542199"	0.580383977	-0.116258568	0.464125409
"ZINC0001542568"	NA	-0.786573431	NA
"ZINC0001542749"	0.843014674	-1.754205371	-0.911190697
"ZINC0001542890"	NA	-0.202750808	NA
"ZINC0001542896"	NA	-1.024427092	NA
"ZINC0001542912"	0.108138775	-0.327083404	-0.218944629
"ZINC0001542927"	0.109089244	-0.883877202	-0.774787958
"ZINC0001542929"	0.681293454	-1.170382748	-0.489089294
"ZINC0001543181"	1.075514412	-0.689269661	0.386244751
"ZINC0001543513"	0.567446864	NA	NA
"ZINC0001543563"	0.750097861	NA	NA
"ZINC0001543566"	0.758408633	-0.970369442	-0.211960809
"ZINC0001543773"	0.761606293	NA	NA
"ZINC0001544309"	0.130431766	NA	NA
"ZINC0001544567"	0.665936863	-0.483850589	0.182086274
"ZINC0001544798"	NA	-0.045983622	NA
"ZINC0001544805"	0.757738331	NA	NA
"ZINC00015449244"	0.295737264	NA	NA
"ZINC0001545003"	1.322319944	-0.289243048	1.033076896
"ZINC0001545034"	0.81615428	-1.375801819	-0.559647539
"ZINC0001545132"	1.305721957	-0.375735289	0.929986668
"ZINC0001545255"	1.092512421	-1.532569005	-0.440056584
"ZINC0001546066"	0.544102563	-0.224373868	0.319728695
"ZINC0001546077"	1.011987863	-0.273025753	0.73896211
"ZINC0001546302"	1.229869098	-0.024360562	1.205508536
"ZINC0001547848"	0.888560332	-0.435198704	0.453361628
"ZINC0001548097"	1.009587088	-1.419047939	-0.409460851
"ZINC0001548806"	1.449750999	-1.208223103	0.241527896
"ZINC0001548888"	1.080618998	-0.710892721	0.369726277
"ZINC0001549363"	0.731065465	NA	NA
"ZINC0001549366"	0.021621678	-0.743327311	-0.721705633
"ZINC0001549377"	NA	-1.770422666	NA
"ZINC0001549377  "	0.40763095	NA	NA
"ZINC0001549583"	0.529176746	-0.554125535	-0.024948789
"ZINC0001549589"	0.937778015	-0.364923759	0.572854256
"ZINC0001549629  "	0.414638114	NA	NA
"ZINC0001549989"	1.073719201	NA	NA
"ZINC0001550170"	0.487041237	-0.900094497	-0.41305326
"ZINC0001550221"	0.884639033	NA	NA
"ZINC0001550477"	1.45312991	-1.954218677	-0.501088767
"ZINC0001550499"	0.544839032	-0.337894934	0.206944098
"ZINC0001550766"	0.20878375	NA	NA
"ZINC0001550769"	0.333854792	NA	NA
"ZINC00015515"	NA	-0.429792939	NA
"ZINC0001552174"	0.540313971	-1.683930426	-1.143616455
"ZINC0001552570"	0.223400714	NA	NA
"ZINC0001552908"	0.750800892	NA	NA
"ZINC0001552924"	NA	-0.008143267	NA
"ZINC0001553254"	0.292189833	NA	NA
"ZINC0001554274"	0.492181623	-1.278498049	-0.786316426
"ZINC000155697"	0.257846197	-0.235185398	0.022660799
"ZINC000155806"	0.410801983	NA	NA
"ZINC0001567"	0.325850545	-1.110919333	-0.785068788
"ZINC000156701"	0.053487261	-0.240591163	-0.187103902
"ZINC0001571009"	0.940099008	-0.775761901	0.164337107
"ZINC0001576968"	1.342653721	NA	NA
"ZINC0001585847"	0.660306588	-0.110852803	0.549453785
"ZINC0001587"	NA	-0.397358349	NA
"ZINC0001587011"	0.928033292	-0.051389387	0.876643905
"ZINC00015894680"	0.08190435	-0.078418212	0.003486138
"ZINC00015919406"	NA	-0.883877202	NA
"ZINC00015919406  "	1.312543733	NA	NA
"ZINC00015924305"	NA	-0.089229742	NA
"ZINC0001596184"	NA	-0.446010234	NA
"ZINC00015965745"	0.31942086	-0.121664333	0.197756527
"ZINC0001600509"	NA	-0.013549032	NA
"ZINC0001601437"	0.224954325	NA	NA
"ZINC00016052171"	0.631600219	NA	NA
"ZINC00016052569"	0.680376619	-0.916311792	-0.235935173
"ZINC00016052630"	0.56315186	-0.889282967	-0.326131107
"ZINC00016052714"	1.237264338	-0.597371655	0.639892683
"ZINC00016052718"	NA	-0.008143267	NA
"ZINC00016052804"	0.238011171	-0.413575644	-0.175564473
"ZINC00016052807"	1.102563258	-0.462227529	0.640335729
"ZINC00016052810"	NA	-1.343367229	NA
"ZINC00016052810  "	1.096556531	NA	NA
"ZINC00016052818"	0.111510045	-0.835225316	-0.723715271
"ZINC00016052825"	1.076248545	-1.040644387	0.0356041579999999
"ZINC00016052857"	0.246737152	NA	NA
"ZINC00016077"	NA	-0.013549032	NA
"ZINC0001607808"	NA	-0.008143267	NA
"ZINC0001611274"	0.147429627	-0.435198704	-0.287769077
"ZINC0001612996"	NA	-1.997464797	NA
"ZINC0001615344"	0.673858655	-0.413575644	0.260283011
"ZINC00016159083"	0.657440318	-0.797384961	-0.139944643
"ZINC0001621282"	0.628113542	-0.343300699	0.284812843
"ZINC0001624"	0.161876032	-2.073145508	-1.911269476
"ZINC0001632"	0.05312198	-0.256808458	-0.203686478
"ZINC000163337436"	NA	-2.305593404	NA
"ZINC000163337436  "	0.053005419	NA	NA
"ZINC0001633887"	NA	-0.029766327	NA
"ZINC0001639355"	NA	-0.273025753	NA
"ZINC0001639578"	NA	-0.943340617	NA
"ZINC0001640558"	NA	-0.851442611	NA
"ZINC0001640559"	NA	-0.446010234	NA
"ZINC0001642602"	NA	-0.521690945	NA
"ZINC0001644304"	NA	-0.240591163	NA
"ZINC000164460208  "	1.258322373	NA	NA
"ZINC0001645"	NA	-0.110852803	NA
"ZINC00016474687"	1.637134604	-0.094635507	1.542499097
"ZINC0001649340"	0.409867929	-0.170316218	0.239551711
"ZINC0001650377"	NA	-0.321677639	NA
"ZINC0001650575"	0.1604567	NA	NA
"ZINC0001650576"	0.190545655	NA	NA
"ZINC0001651"	0.011612231	-0.683863896	-0.672251665
"ZINC0001655706"	1.087702913	-0.786573431	0.301129482
"ZINC0001657963"	0.124513792	-0.813602256	-0.689088464
"ZINC0001661187"	0.104124161	NA	NA
"ZINC0001668768"	0.809457941	-0.640617775	0.168840166
"ZINC00016696900"	0.41325816	-1.137948158	-0.724689998
"ZINC00016697102"	1.269922933	-1.278498049	-0.00857511600000005
"ZINC000167006010  "	0.344928529	NA	NA
"ZINC0001671094"	NA	-0.370329524	NA
"ZINC0001671505"	0.316827158	-0.278431518	0.03839564
"ZINC0001671507"	NA	-0.364923759	NA
"ZINC0001672"	NA	-0.748733076	NA
"ZINC000167915141"	NA	-1.002804032	NA
"ZINC000167915141  "	1.201946292	NA	NA
"ZINC0001680410"	NA	-0.597371655	NA
"ZINC000168520308"	NA	-1.127136628	NA
"ZINC000168520308  "	1.347146512	NA	NA
"ZINC000168658420"	NA	-0.364923759	NA
"ZINC000168658420  "	1.069820129	NA	NA
"ZINC00016869"	0.016199626	-0.732515781	-0.716316155
"ZINC0001687057"	NA	-0.197345043	NA
"ZINC0001687237"	0.380814956	-0.327083404	0.053731552
"ZINC0001690324"	0.450546322	NA	NA
"ZINC000169289402  "	0.661878045	NA	NA
"ZINC000169289411  "	0.095769327	NA	NA
"ZINC000169292554  "	0.692137748	NA	NA
"ZINC000169301412"	NA	-0.824413786	NA
"ZINC000169301412  "	0.384825621	NA	NA
"ZINC000169325094  "	0.586532583	NA	NA
"ZINC000169325657"	NA	-0.829819551	NA
"ZINC000169325657  "	1.358344842	NA	NA
"ZINC000169335815  "	0.882433824	NA	NA
"ZINC000169341270  "	0.633051207	NA	NA
"ZINC000169356230"	NA	-0.791979196	NA
"ZINC000169356230  "	0.05743649	NA	NA
"ZINC000169368401"	NA	-0.813602256	NA
"ZINC000169368401  "	0.456963142	NA	NA
"ZINC00016953163"	0.35701926	-0.321677639	0.035341621
"ZINC000169620396"	NA	-0.786573431	NA
"ZINC000169620396  "	0.370642185	NA	NA
"ZINC000169649308"	NA	-0.181127748	NA
"ZINC000169649308  "	0.087298466	NA	NA
"ZINC000169677000  "	0.290961383	NA	NA
"ZINC000169677017  "	0.218978552	NA	NA
"ZINC000169698697"	NA	-1.289309579	NA
"ZINC000169698697  "	1.225029345	NA	NA
"ZINC000169746649  "	0.036508934	NA	NA
"ZINC000169748228  "	0.559678851	NA	NA
"ZINC0001697652"	NA	-0.008143267	NA
"ZINC0001713761"	NA	-0.402764114	NA
"ZINC0001714738"	NA	-1.343367229	NA
"ZINC0001716098"	0.054041717	-0.862254141	-0.808212424
"ZINC0001717372"	NA	-0.435198704	NA
"ZINC00017175898"	0.091428223	NA	NA
"ZINC0001718"	0.331473935	NA	NA
"ZINC00017195927"	NA	-0.683863896	NA
"ZINC00017325108"	NA	-0.53790824	NA
"ZINC0001735"	NA	-0.121664333	NA
"ZINC0001754"	0.206255864	-0.58115436	-0.374898496
"ZINC000175660737"	NA	-0.710892721	NA
"ZINC000175660737  "	0.832708178	NA	NA
"ZINC0001758"	0.125052669	NA	NA
"ZINC00017654732"	NA	-0.927123322	NA
"ZINC00017654732  "	1.332068596	NA	NA
"ZINC00017654911"	1.269422434	-1.635278541	-0.365856107
"ZINC00017654925"	NA	-0.051389387	NA
"ZINC00017655310"	0.5876928	NA	NA
"ZINC0001782155"	0.298449674	NA	NA
"ZINC0001783"	0.213803222	NA	NA
"ZINC00017919916"	NA	-0.764950371	NA
"ZINC00018067894"	0.059808073	-0.700081191	-0.640273118
"ZINC00018087"	0.403389282	-1.035238622	-0.63184934
"ZINC00018107429  "	0.013744265	NA	NA
"ZINC00018150621"	0.095599801	NA	NA
"ZINC00018185774"	0.203437302	-1.013615562	-0.81017826
"ZINC00018193448"	NA	-0.413575644	NA
"ZINC00018206988"	1.004007146	-0.354112229	0.649894917
"ZINC00018279854"	0.091428223	NA	NA
"ZINC00018324776"	1.12542951	-0.478444824	0.646984686
"ZINC0001842518"	0.397736551	NA	NA
"ZINC0001842633"	NA	-0.067606682	NA
"ZINC0001842693"	NA	-0.391952584	NA
"ZINC0001842693  "	0.304975569	NA	NA
"ZINC0001842915"	NA	-0.175721983	NA
"ZINC0001847743"	NA	-0.927123322	NA
"ZINC0001851132"	0.872263099	-0.327083404	0.545179695
"ZINC0001851149"	0.653308772	-1.283903814	-0.630595042
"ZINC00018516586"	NA	-0.045983622	NA
"ZINC00018516586  "	1.406274522	NA	NA
"ZINC0001853550"	NA	-0.910906027	NA
"ZINC0001856108"	NA	-0.170316218	NA
"ZINC00018635"	NA	-0.175721983	NA
"ZINC0001864285"	0.203403033	-0.58115436	-0.377751327
"ZINC00018710082"	0.991204393	-0.586560125	0.404644268
"ZINC00018710082z"	0.956571417	NA	NA
"ZINC00018710085"	1.595871058	-1.170382748	0.42548831
"ZINC0001873"	0.449901481	-1.029832857	-0.579931376
"ZINC0001874"	NA	-0.408169879	NA
"ZINC0001875"	0.068280946	NA	NA
"ZINC000187911"	NA	-0.408169879	NA
"ZINC00018825330"	0.008451484	-0.051389387	-0.042937903
"ZINC00018825333"	0.037047636	-0.240591163	-0.203543527
"ZINC00018825334"	0.925747511	-0.137881628	0.787865883
"ZINC00018825342"	NA	-0.6676466	NA
"ZINC00018825342  "	1.090650091	NA	NA
"ZINC00018847034"	NA	-0.181127748	NA
"ZINC00018847036"	NA	-0.045983622	NA
"ZINC00018847037"	0.064699172	-0.164910453	-0.100211281
"ZINC0001886617"	0.868587963	NA	NA
"ZINC000189"	NA	-0.478444824	NA
"ZINC0001891034"	0.277401136	-0.775761901	-0.498360765
"ZINC0001891205"	NA	-0.002737502	NA
"ZINC0001891205  "	1.358709509	NA	NA
"ZINC0001892860"	NA	-0.024360562	NA
"ZINC0001893129"	1.135759846	-1.651495836	-0.51573599
"ZINC0001894"	0.579598411	NA	NA
"ZINC000189403"	NA	-0.343300699	NA
"ZINC0001894220"	NA	-0.208156573	NA
"ZINC0001895505"	1.47445836	-1.635278541	-0.160820181
"ZINC0001898"	NA	-1.132542393	NA
"ZINC0001908051"	1.082397111	-0.208156573	0.874240538
"ZINC0001908550"	0.655811266	NA	NA
"ZINC0001909562"	NA	-0.283837283	NA
"ZINC0001909562  "	0.777126937	NA	NA
"ZINC0001910234"	0.273517487	-0.689269661	-0.415752174
"ZINC0001910616"	1.588104361	NA	NA
"ZINC0001912267"	0.082861076	NA	NA
"ZINC0001912926"	1.215102757	-0.397358349	0.817744408
"ZINC0001914818"	1.256766157	NA	NA
"ZINC0001915509"	NA	-0.332489169	NA
"ZINC00019203912"	0.898026197	-1.408236409	-0.510210212
"ZINC00019228902"	0.305945248	-1.159571218	-0.85362597
"ZINC00019327134"	NA	-0.245996928	NA
"ZINC00019340795"	0.531844581	NA	NA
"ZINC00019360739"	0.47824414	-0.554125535	-0.075881395
"ZINC00019362693"	1.385014677	-0.159504688	1.225509989
"ZINC00019362713"	0.27850099	-1.954218677	-1.675717687
"ZINC00019363537"	NA	-1.662307366	NA
"ZINC00019364225"	NA	-1.51635171	NA
"ZINC00019364230"	0.102038065	NA	NA
"ZINC00019371887"	0.292415861	-1.948812912	-1.656397051
"ZINC00019418959"	0.758079793	-1.062267448	-0.304187655
"ZINC00019418976"	0.616838663	NA	NA
"ZINC00019535049"	0.33288159	-0.245996928	0.086884662
"ZINC00019537374"	0.150291746	-0.359517994	-0.209226248
"ZINC0001957909"	0.322010945	-2.024493623	-1.702482678
"ZINC000195802571"	NA	-0.083823977	NA
"ZINC00019594599"	NA	-0.381141054	NA
"ZINC00019632614"	0.764996504	-1.251469224	-0.48647272
"ZINC00019632618"	1.328936563	-2.283970344	-0.955033781
"ZINC00019632628"	0.196814602	NA	NA
"ZINC00019632692"	0.098447786	NA	NA
"ZINC00019632822"	0.537809115	-0.662240835	-0.12443172
"ZINC00019632834"	0.590166978	NA	NA
"ZINC00019632891"	0.090412403	-0.889282967	-0.798870564
"ZINC00019632922"	0.116941493	-0.65683507	-0.539893577
"ZINC00019632927"	0.450956604	-0.359517994	0.09143861
"ZINC0001968"	NA	-0.040577857	NA
"ZINC00019701765"	NA	-0.489256355	NA
"ZINC00019737386"	NA	-0.462227529	NA
"ZINC00019796018"	0.165998844	-1.186600043	-1.020601199
"ZINC00019796031"	NA	-0.60277742	NA
"ZINC00019796080"	0.717172382	-1.008209797	-0.291037415
"ZINC00019796082"	NA	-0.446010234	NA
"ZINC00019796158"	0.148327813	-0.024360562	0.123967251
"ZINC00019796161"	0.422900929	-0.435198704	-0.012297775
"ZINC00019796168"	1.163902592	-1.035238622	0.12866397
"ZINC000197964623"	NA	-0.181127748	NA
"ZINC000197964623  "	0.170452162	NA	NA
"ZINC0001984"	0.084012539	NA	NA
"ZINC00019849834"	0.316407588	NA	NA
"ZINC00019861870"	NA	-0.170316218	NA
"ZINC00019862621  "	1.610317523	NA	NA
"ZINC00019862631"	0.777265306	-0.856848376	-0.07958307
"ZINC00019862646"	1.763379422	-1.386613349	0.376766073
"ZINC00019865692"	NA	-0.564937065	NA
"ZINC00019868747"	NA	-0.467633294	NA
"ZINC000198970879"	NA	-2.002870562	NA
"ZINC000198970879  "	1.220979443	NA	NA
"ZINC00019899628"	1.104944479	-1.067673213	0.0372712660000001
"ZINC00019907652"	0.885915453	-1.019021327	-0.133105874
"ZINC00019909326"	NA	-0.429792939	NA
"ZINC000199107019  "	0.845738531	NA	NA
"ZINC0001995"	0.146464106	-0.040577857	0.105886249
"ZINC0001996117"	1.454537059	-1.262280754	0.192256305
"ZINC0001996369"	NA	-0.143287393	NA
"ZINC0001996784"	0.134346484	-1.521757475	-1.387410991
"ZINC0001997139"	0.987161296	-0.61358895	0.373572346
"ZINC00019972672"	0.664381254	-0.467633294	0.19674796
"ZINC0001999256"	0.673015317	-0.489256355	0.183758962
"ZINC0001999440  "	0.575556947	NA	NA
"ZINC0001999529"	0.828977606	-1.743393841	-0.914416235
"ZINC0002000919"	NA	-0.229779633	NA
"ZINC0002001200"	0.491015865	NA	NA
"ZINC0002001740"	NA	-1.354178759	NA
"ZINC0002002226"	NA	-0.710892721	NA
"ZINC000200299610  "	1.021998573	NA	NA
"ZINC0002003628"	0.235373987	-0.500067885	-0.264693898
"ZINC0002004553  "	0.801287469	NA	NA
"ZINC000200480149  "	0.220840834	NA	NA
"ZINC0002005305"	0.953205634	NA	NA
"ZINC0002007450"	NA	-0.035172092	NA
"ZINC0002007450  "	1.021998573	NA	NA
"ZINC0002008866"	0.19042036	NA	NA
"ZINC0002009671"	0.258383394	-0.694675426	-0.436292032
"ZINC0002012988"	0.889965287	NA	NA
"ZINC0002013702"	1.330593869	-0.424387174	0.906206695
"ZINC00020148984"	0.531605985	-0.105447038	0.426158947
"ZINC00020148986"	1.133739438	-0.100041272	1.033698166
"ZINC0002015281"	0.561757078	NA	NA
"ZINC0002015558"	0.675669234	NA	NA
"ZINC0002015559"	0.675669234	NA	NA
"ZINC0002015928"	0.084651184	-0.083823977	0.00082720700000001
"ZINC0002017514"	0.186210882	NA	NA
"ZINC0002018339"	NA	-0.240591163	NA
"ZINC0002019492"	NA	-0.418981409	NA
"ZINC0002019929"	0.143030758	-0.078418212	0.064612546
"ZINC0002020"	NA	-0.018954797	NA
"ZINC0002020083"	NA	-1.175788513	NA
"ZINC0002020114"	0.37528698	NA	NA
"ZINC0002020233"	0.420739053	NA	NA
"ZINC0002020259"	NA	-1.359584524	NA
"ZINC00020220"	0.590615079	NA	NA
"ZINC0002022427"	0.365816943	NA	NA
"ZINC0002022686"	NA	-1.213628868	NA
"ZINC0002022686  "	0.850760649	NA	NA
"ZINC00020240"	NA	-0.829819551	NA
"ZINC00020241"	NA	-0.262214223	NA
"ZINC00020245"	NA	-0.473039059	NA
"ZINC00020246"	0.202907786	NA	NA
"ZINC00020248"	NA	-0.921717557	NA
"ZINC00020249"	NA	-0.716298486	NA
"ZINC0002024936"	NA	-0.062200917	NA
"ZINC000203005669"	NA	-1.229846163	NA
"ZINC000203005669  "	0.94765072	NA	NA
"ZINC0002030426"	NA	-0.002737502	NA
"ZINC0002030911"	0.21982438	-0.813602256	-0.593777876
"ZINC0002033589"	1.025505256	-0.986586737	0.038918519
"ZINC0002034069"	0.116435629	NA	NA
"ZINC0002034516"	0.180071881	-0.943340617	-0.763268736
"ZINC0002036061"	NA	-0.846036846	NA
"ZINC0002036848"	0.670081294	-0.278431518	0.391649776
"ZINC0002036915"	0.880541472	-0.5595313	0.321010172
"ZINC0002038104"	NA	-0.208156573	NA
"ZINC0002038733"	0.308785788	-0.597371655	-0.288585867
"ZINC0002040457"	NA	-0.52709671	NA
"ZINC0002040609"	NA	-0.727110016	NA
"ZINC0002041"	NA	-0.083823977	NA
"ZINC0002041028"	NA	-0.375735289	NA
"ZINC0002042  "	0.259036335	NA	NA
"ZINC0002043204"	0.686704882	-1.440671	-0.753966118
"ZINC0002047275"	0.441145376	NA	NA
"ZINC000204927416  "	1.137791323	NA	NA
"ZINC00020509178"	0.751204599	-0.673052365	0.078152234
"ZINC00020509316"	1.010638593	-0.683863896	0.326774697
"ZINC000205136523  "	1.183624675	NA	NA
"ZINC0002057"	NA	-0.116258568	NA
"ZINC000205740383"	NA	-0.586560125	NA
"ZINC000205740383  "	1.208233679	NA	NA
"ZINC000205767583"	NA	-0.229779633	NA
"ZINC000205767583  "	1.187701008	NA	NA
"ZINC000205861291"	NA	-0.916311792	NA
"ZINC000205861291  "	1.145095988	NA	NA
"ZINC000206068226"	NA	-0.359517994	NA
"ZINC000206068226  "	0.49606077	NA	NA
"ZINC0002062"	NA	-0.53790824	NA
"ZINC0002063"	NA	-0.294648814	NA
"ZINC000206382"	NA	-0.224373868	NA
"ZINC000206769279"	NA	-1.164976983	NA
"ZINC000206769279  "	1.608916585	NA	NA
"ZINC000206792055"	NA	-1.094702038	NA
"ZINC000206792055  "	1.089918273	NA	NA
"ZINC000207703472"	NA	-0.689269661	NA
"ZINC000207703472  "	1.18115022	NA	NA
"ZINC0002077807"	NA	-0.067606682	NA
"ZINC000207793824"	NA	-1.262280754	NA
"ZINC000207793824  "	0.790472543	NA	NA
"ZINC000208076131"	NA	-0.618994715	NA
"ZINC000208076131  "	0.974399635	NA	NA
"ZINC000208774715"	NA	-0.137881628	NA
"ZINC000208774715  "	1.272194774	NA	NA
"ZINC000208973059"	NA	-0.197345043	NA
"ZINC000208973059  "	1.026962096	NA	NA
"ZINC0002094"	0.291974699	-0.65683507	-0.364860371
"ZINC0002094254"	0.017566073	-0.289243048	-0.271676975
"ZINC0002097"	NA	-0.575748595	NA
"ZINC000210248763"	NA	-0.202750808	NA
"ZINC000210248763  "	0.650325057	NA	NA
"ZINC0002105"	NA	-0.52709671	NA
"ZINC0002106"	0.36501293	-1.046050152	-0.681037222
"ZINC000210610738"	NA	-0.673052365	NA
"ZINC000210610738  "	1.184622129	NA	NA
"ZINC000210747484  "	0.281275949	NA	NA
"ZINC000210903069"	NA	-1.327149934	NA
"ZINC000210903069  "	1.24074901	NA	NA
"ZINC0002109876"	0.1604567	NA	NA
"ZINC0002114"	NA	-0.105447038	NA
"ZINC0002114  "	0.341100869	NA	NA
"ZINC00021288919"	0.777679942	NA	NA
"ZINC00021288966"	0.681227111	NA	NA
"ZINC00021289032"	NA	-0.289243048	NA
"ZINC00021290121"	0.095599801	-0.121664333	-0.026064532
"ZINC00021297287"	0.625291341	-1.52716324	-0.901871899
"ZINC00021297660"	0.784888045	NA	NA
"ZINC00021298097  "	1.140323657	NA	NA
"ZINC0002135898"	1.302294462	-1.251469224	0.0508252380000001
"ZINC0002138728"	0.674986614	-0.60277742	0.072209194
"ZINC0002139"	NA	-0.370329524	NA
"ZINC0002141876"	1.292558594	-0.024360562	1.268198032
"ZINC000214463223"	NA	-3.035371683	NA
"ZINC000214463223  "	1.288302779	NA	NA
"ZINC0002149829"	0.680687396	-0.451415999	0.229271397
"ZINC000214987"	NA	-0.754138841	NA
"ZINC0002167075"	1.097988572	-0.100041272	0.9979473
"ZINC0002169830"	0.010659338	-0.062200917	-0.051541579
"ZINC0002169915"	0.603712207	-1.100107803	-0.496395596
"ZINC0002169917"	0.024833743	-0.224373868	-0.199540125
"ZINC0002170223"	0.059869529	-0.451415999	-0.39154647
"ZINC0002176"	NA	-0.53790824	NA
"ZINC000218648484"	NA	-2.429926	NA
"ZINC000218648484  "	1.482495288	NA	NA
"ZINC0002188"	NA	-0.364923759	NA
"ZINC000219669733"	NA	-0.424387174	NA
"ZINC000219669733  "	0.855191923	NA	NA
"ZINC00021981303"	0.3791152	-1.267686519	-0.888571319
"ZINC00021986090"	NA	-0.618994715	NA
"ZINC00021986197"	0.541331572	-0.473039059	0.0682925130000001
"ZINC00021992076"	1.198694667	-0.683863896	0.514830771
"ZINC00021999791"	0.675349662	-0.791979196	-0.116629534
"ZINC0002200"	0.005383431	-0.813602256	-0.808218825
"ZINC00022001607"	0.322604016	NA	NA
"ZINC00022010574"	0.823686019	-0.732515781	0.091170238
"ZINC00022010579"	1.25342337	-0.597371655	0.656051715
"ZINC00022010649"	0.189921306	-0.64602354	-0.456102234
"ZINC00022010649z"	0.206689143	NA	NA
"ZINC00022010910"	0.253506267	-0.354112229	-0.100605962
"ZINC000220110600"	NA	-0.57034283	NA
"ZINC000220110600  "	0.417184703	NA	NA
"ZINC00022012325"	0.167194969	-0.397358349	-0.23016338
"ZINC00022015557  "	1.230390953	NA	NA
"ZINC00022028901"	NA	-0.53790824	NA
"ZINC00022034135"	0.654719431	-0.62440048	0.0303189509999999
"ZINC00022034381"	1.308509357	-1.078484743	0.230024614
"ZINC00022056306"	0.476465352	-0.381141054	0.095324298
"ZINC00022056928"	0.946906927	-0.218968103	0.727938824
"ZINC00022065493"	0.497950618	-0.813602256	-0.315651638
"ZINC00022066510"	1.358635404	-0.554125535	0.804509869
"ZINC00022067501"	1.283842791	-1.370396054	-0.0865532629999999
"ZINC000221149242"	NA	-1.419047939	NA
"ZINC000221149242  "	0.99381742	NA	NA
"ZINC0002212"	0.572310526	-0.63521201	-0.0629014840000001
"ZINC0002216"	NA	-0.489256355	NA
"ZINC000222731806"	NA	-0.245996928	NA
"ZINC000222731806  "	1.411300805	NA	NA
"ZINC00022309494"	0.117918145	-0.208156573	-0.090238428
"ZINC00022309498"	0.507132387	-0.651429305	-0.144296918
"ZINC0002244161"	1.117471404	NA	NA
"ZINC00022441678"	NA	-0.446010234	NA
"ZINC00022443609"	NA	-4.489522475	NA
"ZINC00022446634"	0.592097649	-0.640617775	-0.048520126
"ZINC00022446674"	0.308493511	-1.051455917	-0.742962406
"ZINC00022446685"	0.975003411	-1.029832857	-0.0548294459999999
"ZINC00022448696"	1.241363748	-0.094635507	1.146728241
"ZINC00022448826"	NA	-0.056795152	NA
"ZINC00022448983"	1.408344001	-0.58115436	0.827189641
"ZINC00022449850"	NA	-1.808263021	NA
"ZINC00022449850  "	1.148247117	NA	NA
"ZINC00022453472"	1.282265455	-2.446143295	-1.16387784
"ZINC00022453679"	1.011111924	-1.667713131	-0.656601207
